query	volume	old_landing_url	new_landing_url	old_page_type	menu_group	category	subcategory	page_level	matched_dimensions	matched_values	reason	source_file
сделать фото ии промт	1226	/promty-dlya-sozdaniya-foto/	/promty-dlya-sozdaniya-foto/	static_hub	Сценарии	Создание фото	Общие	L1	intent_action=sozdanie	intent_action=sozdanie	mapped to canonical semantic hub	wordstat_top_queries (1).csv
промт для старых фото	1207	/promty-dlya-restavracii-foto/	/promty-dlya-restavracii-foto/	static_hub	Сценарии	Реставрация фото	Общие	L1	intent_action=restavratsiya	intent_action=restavratsiya	mapped to canonical semantic hub	wordstat_top_queries (1).csv
промты для изменения фото	1198	/promty-dlya-obrabotki-foto/	/promty-dlya-obrabotki-foto/	static_hub	Сценарии	Обработка фото	Общие	L1	intent_action=obrabotka	intent_action=obrabotka	mapped to canonical semantic hub	wordstat_top_queries (1).csv
сделать промт по фото	1196	/promty-dlya-sozdaniya-foto/	/	static_hub	Главная	Главная	Из фото в промт	home	intent_action=sozdanie	intent_action=sozdanie	extract-prompt-from-photo queries go to homepage	wordstat_top_queries (1).csv
промт для фото фотосессия	1184	/promty-dlya-fotosessii/	/promty-dlya-fotosessii/	static_hub	Сценарии	Фотосессия	Общие	L1	intent_action=fotosessiya	intent_action=fotosessiya	mapped to canonical semantic hub	wordstat_top_queries (1).csv
промт для фото с мамой	1155	/promty-dlya-foto-s-mamoy/	/promty-dlya-foto-s-mamoy/	programmatic_L1	Люди и отношения	С мамой	Общие	L1	audience_tag	s_mamoy	mapped to canonical semantic hub	wordstat_top_queries (1).csv
промт для фото с парнем	1087	/promty-dlya-foto-s-parnem/	/promty-dlya-foto-s-parnem/	programmatic_L1	Люди и отношения	С парнем	Общие	L1	audience_tag	s_parnem	mapped to canonical semantic hub	wordstat_top_queries (1).csv
промт для редактирования фото	1065	/promty-dlya-obrabotki-foto/	/promty-dlya-obrabotki-foto/	static_hub	Сценарии	Обработка фото	Общие	L1	intent_action=obrabotka	intent_action=obrabotka	mapped to canonical semantic hub	wordstat_top_queries (1).csv
промт для фото портрета	1063	/stil/portret/	/stil/portret/	programmatic_L1	Стили	Портрет	Общие	L1	style_tag	portret	mapped to canonical semantic hub	wordstat_top_queries (1).csv
промты для фото женские	955	/promty-dlya-foto-devushki/	/promty-dlya-foto-devushki/	programmatic_L1	Люди и отношения	Девушки	Общие	L1	audience_tag	devushka	mapped to canonical semantic hub	wordstat_top_queries (1).csv
промты для фото с машиной	921	/s-mashinoy/	/s-mashinoy/	programmatic_L1	Сцены и объекты	С машиной	Общие	L1	object_tag	s_mashinoy	mapped to canonical semantic hub	wordstat_top_queries (1).csv
промты фото девушек нейросетей	920	/promty-dlya-foto-devushki/	/promty-dlya-foto-devushki/	programmatic_L1	Люди и отношения	Девушки	Общие	L1	audience_tag	devushka	mapped to canonical semantic hub	wordstat_top_queries (1).csv
подробный промт для генерации фото	907	/promty-dlya-sozdaniya-foto/	/promty-dlya-sozdaniya-foto/podrobnye/	static_hub	Сценарии	Создание фото	Подробные промты	L2	intent_action=sozdanie	intent_action=sozdanie	core semantic page + editorial modifier podrobnye	wordstat_top_queries (1).csv
промты для совместных фото	903	/promty-dlya-foto-par/	/promty-dlya-foto-par/	programmatic_L1	Люди и отношения	Пары	Общие	L1	audience_tag	para	mapped to canonical semantic hub	wordstat_top_queries (1).csv
промт для студийного фото	873	/stil/studiynoe/	/stil/studiynoe/	programmatic_L1	Стили	Студийное	Общие	L1	style_tag	studiynoe	mapped to canonical semantic hub	wordstat_top_queries (1).csv
промт для фото поколений	872	/promty-dlya-foto-pokoleniy/	/promty-dlya-foto-pokoleniy/	programmatic_L1	Люди и отношения	Поколения	Общие	L1	audience_tag	pokoleniy	mapped to canonical semantic hub	wordstat_top_queries (1).csv
промты для ии для фото девушки	834	/promty-dlya-foto-devushki/	/promty-dlya-foto-devushki/	programmatic_L1	Люди и отношения	Девушки	Общие	L1	audience_tag	devushka	mapped to canonical semantic hub	wordstat_top_queries (1).csv
промт для фото семьи	829	/promty-dlya-semejnogo-foto/	/promty-dlya-semejnogo-foto/	programmatic_L1	Люди и отношения	Семья	Общие	L1	audience_tag	semya	mapped to canonical semantic hub	wordstat_top_queries (1).csv
промты для генерации фото девушки	826	/promty-dlya-foto-devushki/	/promty-dlya-foto-devushki/	programmatic_L1	Люди и отношения	Девушки	Общие	L1	audience_tag	devushka	mapped to canonical semantic hub	wordstat_top_queries (1).csv
промт для фото девочки	788	/promty-dlya-foto-devochki/	/promty-dlya-foto-devochki/	programmatic_L1	Люди и отношения	Девочки	Общие	L1	audience_tag	devochka	mapped to canonical semantic hub	wordstat_top_queries (1).csv
промт для генерации фото примеры	781	/promty-dlya-sozdaniya-foto/	/promty-dlya-sozdaniya-foto/primery/	static_hub	Сценарии	Создание фото	Примеры промтов	L2	intent_action=sozdanie	intent_action=sozdanie	core semantic page + editorial modifier primery	wordstat_top_queries (1).csv
промт для фото на 8 марта	777	/sobytiya/8-marta/	/sobytiya/8-marta/	programmatic_L1	События	8 марта	Общие	L1	occasion_tag	8_marta	mapped to canonical semantic hub	wordstat_top_queries (1).csv
промт фото друзья	734	/promty-dlya-foto-s-drugom/	/promty-dlya-foto-s-drugom/	programmatic_L1	Люди и отношения	С другом	Общие	L1	audience_tag	s_drugom	mapped to canonical semantic hub	wordstat_top_queries (1).csv
промт для создания фото девушки	703	/promty-dlya-foto-devushki/	/promty-dlya-foto-devushki/	programmatic_L1	Люди и отношения	Девушки	Общие	L1	audience_tag	devushka	mapped to canonical semantic hub	wordstat_top_queries (1).csv
промт для фото на 14 февраля	692	/sobytiya/14-fevralya/	/sobytiya/14-fevralya/	programmatic_L1	События	14 февраля	Общие	L1	occasion_tag	14_fevralya	mapped to canonical semantic hub	wordstat_top_queries (1).csv
промт ии парное фото фото	690	/promty-dlya-foto-par/	/promty-dlya-foto-par/	programmatic_L1	Люди и отношения	Пары	Общие	L1	audience_tag	para	mapped to canonical semantic hub	wordstat_top_queries (1).csv
промт для делового фото	672	/stil/delovoe/	/stil/delovoe/	programmatic_L1	Стили	Деловое	Общие	L1	style_tag	delovoe	mapped to canonical semantic hub	wordstat_top_queries (1).csv
промт для фото в стиле гта	667	/stil/gta/	/stil/gta/	programmatic_L1	Стили	GTA	Общие	L1	style_tag	gta	mapped to canonical semantic hub	wordstat_top_queries (1).csv
промт для фото с военным	665	/v-forme/	/v-forme/	programmatic_L1	Сцены и объекты	В форме	Общие	L1	object_tag	v_forme	mapped to canonical semantic hub	wordstat_top_queries (1).csv
готовые промты для обработки фото	646	/promty-dlya-obrabotki-foto/	/promty-dlya-obrabotki-foto/gotovye/	static_hub	Сценарии	Обработка фото	Готовые промты	L2	intent_action=obrabotka	intent_action=obrabotka	core semantic page + editorial modifier gotovye	wordstat_top_queries (1).csv
промты для фото мальчика	645	/promty-dlya-foto-malchika/	/promty-dlya-foto-malchika/	programmatic_L1	Люди и отношения	Мальчики	Общие	L1	audience_tag	malchik	mapped to canonical semantic hub	wordstat_top_queries (1).csv
промт для фото с цветами	641	/s-cvetami/	/s-cvetami/	programmatic_L1	Сцены и объекты	С цветами	Общие	L1	object_tag	s_cvetami	mapped to canonical semantic hub	wordstat_top_queries (1).csv
промт улучшить фото	638	/promty-dlya-uluchsheniya-foto/	/promty-dlya-uluchsheniya-foto/	static_hub	Сценарии	Улучшение фото	Общие	L1	intent_action=uluchshenie	intent_action=uluchshenie	mapped to canonical semantic hub	wordstat_top_queries (1).csv
промт для фото love is	632	/stil/love-is/	/stil/love-is/	programmatic_L1	Стили	Love Is	Общие	L1	style_tag	love_is	mapped to canonical semantic hub	wordstat_top_queries (1).csv
промт для фото в костюме	623	/v-kostyume/	/v-kostyume/	programmatic_L1	Сцены и объекты	В костюме	Общие	L1	object_tag	v_kostyume	mapped to canonical semantic hub	wordstat_top_queries (1).csv
промт для gpt обработка фото	622	/promty-dlya-obrabotki-foto/	/instrumenty/chatgpt/	static_hub	Инструменты	ChatGPT	Общие	L1	intent_action=obrabotka	intent_action=obrabotka	generic tool query consolidated to single tool landing	wordstat_top_queries (1).csv
промты для генерации изображений по фото	622	/promty-dlya-sozdaniya-foto/	/promty-dlya-sozdaniya-foto/	static_hub	Сценарии	Создание фото	Общие	L1	intent_action=sozdanie	intent_action=sozdanie	mapped to canonical semantic hub	wordstat_top_queries (1).csv
промт для фото со знаменитостью	586	/so-znamenitostyu/	/so-znamenitostyu/	programmatic_L1	Сцены и объекты	Со знаменитостью	Общие	L1	object_tag	so_znamenitostyu	mapped to canonical semantic hub	wordstat_top_queries (1).csv
промт для фото с подругой	584	/promty-dlya-foto-s-podrugoy/	/promty-dlya-foto-s-podrugoy/	programmatic_L1	Люди и отношения	С подругой	Общие	L1	audience_tag	s_podrugoy	mapped to canonical semantic hub	wordstat_top_queries (1).csv
промт для фото в форме	576	/v-forme/	/v-forme/	programmatic_L1	Сцены и объекты	В форме	Общие	L1	object_tag	v_forme	mapped to canonical semantic hub	wordstat_top_queries (1).csv
фото для пар ии промты	567	/promty-dlya-foto-par/	/promty-dlya-foto-par/	programmatic_L1	Люди и отношения	Пары	Общие	L1	audience_tag	para	mapped to canonical semantic hub	wordstat_top_queries (1).csv
готовые промты для генерации фото	566	/promty-dlya-sozdaniya-foto/	/promty-dlya-sozdaniya-foto/gotovye/	static_hub	Сценарии	Создание фото	Готовые промты	L2	intent_action=sozdanie	intent_action=sozdanie	core semantic page + editorial modifier gotovye	wordstat_top_queries (1).csv
промт для ии для обработки фото	565	/promty-dlya-obrabotki-foto/	/promty-dlya-obrabotki-foto/	static_hub	Сценарии	Обработка фото	Общие	L1	intent_action=obrabotka	intent_action=obrabotka	mapped to canonical semantic hub	wordstat_top_queries (1).csv
промт для весеннего фото	555	/vesennie/	/vesennie/	programmatic_L1	Сцены и объекты	Весна	Общие	L1	object_tag	vesna	mapped to canonical semantic hub	wordstat_top_queries (1).csv
промт на фото с тортом	540	/s-tortom/	/s-tortom/	programmatic_L1	Сцены и объекты	С тортом	Общие	L1	object_tag	s_tortom	mapped to canonical semantic hub	wordstat_top_queries (1).csv
промты для фото с мужем	539	/promty-dlya-foto-s-muzhem/	/promty-dlya-foto-s-muzhem/	programmatic_L1	Люди и отношения	С мужем	Общие	L1	audience_tag	s_muzhem	mapped to canonical semantic hub	wordstat_top_queries (1).csv
промты для фото с другом	532	/promty-dlya-foto-s-drugom/	/promty-dlya-foto-s-drugom/	programmatic_L1	Люди и отношения	С другом	Общие	L1	audience_tag	s_drugom	mapped to canonical semantic hub	wordstat_top_queries (1).csv
промт для фото влюбленных	529	/promty-dlya-foto-vlyublennykh/	/promty-dlya-foto-vlyublennykh/	programmatic_L1	Люди и отношения	Влюбленные	Общие	L1	audience_tag	vlyublennykh	mapped to canonical semantic hub	wordstat_top_queries (1).csv
промт для фото с собакой	526	/s-sobakoj/	/s-sobakoj/	programmatic_L1	Сцены и объекты	С собакой	Общие	L1	object_tag	s_sobakoy	mapped to canonical semantic hub	wordstat_top_queries (1).csv
промт для портретного фото	515	/stil/portret/	/stil/portret/	programmatic_L1	Стили	Портрет	Общие	L1	style_tag	portret	mapped to canonical semantic hub	wordstat_top_queries (1).csv
промт для фото в профиль	511	/v-profil/	/v-profil/	programmatic_L1	Сцены и объекты	В профиль	Общие	L1	object_tag	v_profil	mapped to canonical semantic hub	wordstat_top_queries (1).csv
промт для фото на масленицу	509	/sobytiya/maslenica/	/sobytiya/maslenica/	programmatic_L1	События	Масленица	Общие	L1	occasion_tag	maslenica	mapped to canonical semantic hub	wordstat_top_queries (1).csv
промт для ии фото мужчины	471	/promty-dlya-foto-muzhchiny/	/promty-dlya-foto-muzhchiny/	programmatic_L1	Люди и отношения	Мужчины	Общие	L1	audience_tag	muzhchina	mapped to canonical semantic hub	wordstat_top_queries (1).csv
создать промт по фото бесплатно	455	/promty-dlya-sozdaniya-foto/	/	static_hub	Главная	Главная	Из фото в промт	home	intent_action=sozdanie	intent_action=sozdanie	extract-prompt-from-photo queries go to homepage	wordstat_top_queries (1).csv
промты для нейросети для обработки фото готовые	454	/promty-dlya-obrabotki-foto/	/promty-dlya-obrabotki-foto/gotovye/	static_hub	Сценарии	Обработка фото	Готовые промты	L2	intent_action=obrabotka	intent_action=obrabotka	core semantic page + editorial modifier gotovye	wordstat_top_queries (1).csv
промт для создания фото в нейросети	452	/promty-dlya-sozdaniya-foto/	/promty-dlya-sozdaniya-foto/	static_hub	Сценарии	Создание фото	Общие	L1	intent_action=sozdanie	intent_action=sozdanie	mapped to canonical semantic hub	wordstat_top_queries (1).csv
подробный промт для создания фото	448	/promty-dlya-sozdaniya-foto/	/promty-dlya-sozdaniya-foto/podrobnye/	static_hub	Сценарии	Создание фото	Подробные промты	L2	intent_action=sozdanie	intent_action=sozdanie	core semantic page + editorial modifier podrobnye	wordstat_top_queries (1).csv
промт фото девушки и парня	444	/promty-dlya-foto-devushki/	/promty-dlya-foto-devushki/	programmatic_L1	Люди и отношения	Девушки	Общие	L1	audience_tag	devushka	mapped to canonical semantic hub	wordstat_top_queries (1).csv
сгенерировать фото по промту	443	/promty-dlya-sozdaniya-foto/	/promty-dlya-sozdaniya-foto/	static_hub	Сценарии	Создание фото	Общие	L1	intent_action=sozdanie	intent_action=sozdanie	mapped to canonical semantic hub	wordstat_top_queries (1).csv
промт для фото бабушки	442	/promty-dlya-foto-s-babushkoy/	/promty-dlya-foto-s-babushkoy/	programmatic_L1	Люди и отношения	С бабушкой	Общие	L1	audience_tag	s_babushkoy	mapped to canonical semantic hub	wordstat_top_queries (1).csv
промт для реставрации фото	438	/promty-dlya-restavracii-foto/	/promty-dlya-restavracii-foto/	static_hub	Сценарии	Реставрация фото	Общие	L1	intent_action=restavratsiya	intent_action=restavratsiya	mapped to canonical semantic hub	wordstat_top_queries (1).csv
промт для фото в зеркале	433	/v-zerkale/	/v-zerkale/	programmatic_L1	Сцены и объекты	В зеркале	Общие	L1	object_tag	v_zerkale	mapped to canonical semantic hub	wordstat_top_queries (1).csv
промт для создания фото примеры	429	/promty-dlya-sozdaniya-foto/	/promty-dlya-sozdaniya-foto/primery/	static_hub	Сценарии	Создание фото	Примеры промтов	L2	intent_action=sozdanie	intent_action=sozdanie	core semantic page + editorial modifier primery	wordstat_top_queries (1).csv
советское фото промт	422	/stil/sovetskoe/	/stil/sovetskoe/	programmatic_L1	Стили	Советское	Общие	L1	style_tag	sovetskoe	mapped to canonical semantic hub	wordstat_top_queries (1).csv
промт для свадебного фото	412	/sobytiya/svadba/	/sobytiya/svadba/	programmatic_L1	События	Свадьба	Общие	L1	occasion_tag	svadba	mapped to canonical semantic hub	wordstat_top_queries (1).csv
промт на фото гта	409	/stil/gta/	/stil/gta/	programmatic_L1	Стили	GTA	Общие	L1	style_tag	gta	mapped to canonical semantic hub	wordstat_top_queries (1).csv
промт для фото с питомцем	406	/promty-dlya-foto-s-pitomcem/	/promty-dlya-foto-s-pitomcem/	programmatic_L1	Люди и отношения	С питомцем	Общие	L1	audience_tag	s_pitomcem	mapped to canonical semantic hub	wordstat_top_queries (1).csv
промт для фото мамы с ребенком	406	/promty-dlya-detskih-foto/	/promty-dlya-detskih-foto/	programmatic_L1	Люди и отношения	Дети	Общие	L1	audience_tag	detskie	mapped to canonical semantic hub	wordstat_top_queries (1).csv
промт для создания реалистичного фото	403	/stil/realistichnoe/	/stil/realistichnoe/	programmatic_L1	Стили	Реалистичное	Общие	L1	style_tag	realistichnoe	mapped to canonical semantic hub	wordstat_top_queries (1).csv
пример промта для фото девушки	396	/promty-dlya-foto-devushki/	/promty-dlya-foto-devushki/primery/	programmatic_L1	Люди и отношения	Девушки	Примеры промтов	L2	audience_tag	devushka	core semantic page + editorial modifier primery	wordstat_top_queries (1).csv
промт на день рождения с детским фото	390	/promty-dlya-detskih-foto/den-rozhdeniya/	/promty-dlya-detskih-foto/den-rozhdeniya/	programmatic_L2	Люди и отношения	Дети	День рождения	L2	audience_tag+occasion_tag	detskie+den_rozhdeniya	mapped to canonical semantic hub	wordstat_top_queries (1).csv
промт для фото с сыном	384	/promty-dlya-foto-s-synom/	/promty-dlya-foto-s-synom/	programmatic_L1	Люди и отношения	С сыном	Общие	L1	audience_tag	s_synom	mapped to canonical semantic hub	wordstat_top_queries (1).csv
промт для ретуши фото	376	/promty-dlya-obrabotki-foto/	/promty-dlya-obrabotki-foto/	static_hub	Сценарии	Обработка фото	Общие	L1	intent_action=obrabotka	intent_action=obrabotka	mapped to canonical semantic hub	wordstat_top_queries (1).csv
промты для фото ии мужские	373	/promty-dlya-foto-muzhchiny/	/promty-dlya-foto-muzhchiny/	programmatic_L1	Люди и отношения	Мужчины	Общие	L1	audience_tag	muzhchina	mapped to canonical semantic hub	wordstat_top_queries (1).csv
промт для фото в стиле love is	371	/stil/love-is/	/stil/love-is/	programmatic_L1	Стили	Love Is	Общие	L1	style_tag	love_is	mapped to canonical semantic hub	wordstat_top_queries (1).csv
промт для обработки фото в стиле	370	/promty-dlya-obrabotki-foto/	/promty-dlya-obrabotki-foto/	static_hub	Сценарии	Обработка фото	Общие	L1	intent_action=obrabotka	intent_action=obrabotka	mapped to canonical semantic hub	wordstat_top_queries (1).csv
промт для фото в студии	366	/stil/studiynoe/	/stil/studiynoe/	programmatic_L1	Стили	Студийное	Общие	L1	style_tag	studiynoe	mapped to canonical semantic hub	wordstat_top_queries (1).csv
промт для обработки фото примеры	364	/promty-dlya-obrabotki-foto/	/promty-dlya-obrabotki-foto/primery/	static_hub	Сценарии	Обработка фото	Примеры промтов	L2	intent_action=obrabotka	intent_action=obrabotka	core semantic page + editorial modifier primery	wordstat_top_queries (1).csv
промт для фото нейросети для пар	359	/promty-dlya-foto-par/	/promty-dlya-foto-par/	programmatic_L1	Люди и отношения	Пары	Общие	L1	audience_tag	para	mapped to canonical semantic hub	wordstat_top_queries (1).csv
промт для ии семейное фото	355	/promty-dlya-semejnogo-foto/	/promty-dlya-semejnogo-foto/	programmatic_L1	Люди и отношения	Семья	Общие	L1	audience_tag	semya	mapped to canonical semantic hub	wordstat_top_queries (1).csv
промт для фото на документы	349	/foto-na-dokumenty/	/foto-na-dokumenty/	programmatic_L1	Задачи	На документы	Общие	L1	doc_task_tag	na_dokumenty	mapped to canonical semantic hub	wordstat_top_queries (1).csv
промт для красивого фото девушки	347	/promty-dlya-foto-devushki/	/promty-dlya-foto-devushki/krasivye/	programmatic_L1	Люди и отношения	Девушки	Красивые промты	L2	audience_tag	devushka	core semantic page + editorial modifier krasivye	wordstat_top_queries (1).csv
промт для создания фото мужчины	344	/promty-dlya-foto-muzhchiny/	/promty-dlya-foto-muzhchiny/	programmatic_L1	Люди и отношения	Мужчины	Общие	L1	audience_tag	muzhchina	mapped to canonical semantic hub	wordstat_top_queries (1).csv
промты для генерации фото в нейросетях	344	/promty-dlya-sozdaniya-foto/	/promty-dlya-sozdaniya-foto/	static_hub	Сценарии	Создание фото	Общие	L1	intent_action=sozdanie	intent_action=sozdanie	mapped to canonical semantic hub	wordstat_top_queries (1).csv
ии промты для фото 23 февраля	341	/sobytiya/23-fevralya/	/sobytiya/23-fevralya/	programmatic_L1	События	23 февраля	Общие	L1	occasion_tag	23_fevralya	mapped to canonical semantic hub	wordstat_top_queries (1).csv
промт для фото мужчины и женщины	334	/promty-dlya-foto-devushki/	/promty-dlya-foto-devushki/	programmatic_L1	Люди и отношения	Девушки	Общие	L1	audience_tag	devushka	mapped to canonical semantic hub	wordstat_top_queries (1).csv
промт для фото полароид	333	/stil/polaroid/	/stil/polaroid/	programmatic_L1	Стили	Полароид	Общие	L1	style_tag	polaroid	mapped to canonical semantic hub	wordstat_top_queries (1).csv
промт для фото автомобиля	330	/s-mashinoy/	/s-mashinoy/	programmatic_L1	Сцены и объекты	С машиной	Общие	L1	object_tag	s_mashinoy	mapped to canonical semantic hub	wordstat_top_queries (1).csv
промт фото с дочерью	330	/promty-dlya-foto-s-dochkoy/	/promty-dlya-foto-s-dochkoy/	programmatic_L1	Люди и отношения	С дочкой	Общие	L1	audience_tag	s_dochkoy	mapped to canonical semantic hub	wordstat_top_queries (1).csv
промт на объединение фото	327	/promty-dlya-kollazha/	/promty-dlya-kollazha/	static_hub	Сценарии	Коллаж	Общие	L1	intent_action=kollazh	intent_action=kollazh	mapped to canonical semantic hub	wordstat_top_queries (1).csv
промт для фото без изменения лица	326	/promty-dlya-obrabotki-foto/	/promty-dlya-obrabotki-foto/	static_hub	Сценарии	Обработка фото	Общие	L1	intent_action=obrabotka	intent_action=obrabotka	mapped to canonical semantic hub	wordstat_top_queries (1).csv
промты для детских фото ии	325	/promty-dlya-detskih-foto/	/promty-dlya-detskih-foto/	programmatic_L1	Люди и отношения	Дети	Общие	L1	audience_tag	detskie	mapped to canonical semantic hub	wordstat_top_queries (1).csv
промт для фото с папой	324	/promty-dlya-foto-s-papoy/	/promty-dlya-foto-s-papoy/	programmatic_L1	Люди и отношения	С папой	Общие	L1	audience_tag	s_papoy	mapped to canonical semantic hub	wordstat_top_queries (1).csv
ретро фото промт	324	/stil/retro/	/stil/retro/	programmatic_L1	Стили	Ретро	Общие	L1	style_tag	retro	mapped to canonical semantic hub	wordstat_top_queries (1).csv
промт для генерации фото на русском	323	/promty-dlya-sozdaniya-foto/	/promty-dlya-sozdaniya-foto/na-russkom/	static_hub	Сценарии	Создание фото	Промты на русском	L2	intent_action=sozdanie	intent_action=sozdanie	core semantic page + editorial modifier na-russkom	wordstat_top_queries (1).csv
промт для ии фото на паспорт	320	/foto-na-pasport/	/foto-na-pasport/	programmatic_L1	Задачи	На паспорт	Общие	L1	doc_task_tag	na_pasport	mapped to canonical semantic hub	wordstat_top_queries (1).csv
промт объединить фото	320	/promty-dlya-kollazha/	/promty-dlya-kollazha/	static_hub	Сценарии	Коллаж	Общие	L1	intent_action=kollazh	intent_action=kollazh	mapped to canonical semantic hub	wordstat_top_queries (1).csv
промт для фото с букетом	318	/s-cvetami/	/s-cvetami/	programmatic_L1	Сцены и объекты	С цветами	Общие	L1	object_tag	s_cvetami	mapped to canonical semantic hub	wordstat_top_queries (1).csv
генерация фото по промту бесплатно	317	/promty-dlya-sozdaniya-foto/	/promty-dlya-sozdaniya-foto/	static_hub	Сценарии	Создание фото	Общие	L1	intent_action=sozdanie	intent_action=sozdanie	mapped to canonical semantic hub	wordstat_top_queries (1).csv
промт для фото с котом	316	/s-kotom/	/s-kotom/	programmatic_L1	Сцены и объекты	С котом	Общие	L1	object_tag	s_kotom	mapped to canonical semantic hub	wordstat_top_queries (1).csv
