new_landing_url	menu_group	category	subcategory	page_level	query_count	total_volume	sample_query_1	sample_query_2	sample_query_3	sample_query_4	sample_query_5
/v-forme/	Сцены и объекты	В форме	Общие	L1	17	2125	промт для фото с военным	промт для фото в форме	промт для фото в военной форме	промт для фото сво	промт для нейросети военный для фото
/so-znamenitostyu/	Сцены и объекты	Со знаменитостью	Общие	L1	41	2068	промт для фото со знаменитостью	промт для фото с путиным	промт для фото со звездой	промт для фото с знаменитостью	промт для создания фото со знаменитостью
/s-mashinoy/	Сцены и объекты	С машиной	Общие	L1	18	2042	промты для фото с машиной	промт для фото автомобиля	промт для фото авто	промт для создания фото с машиной	промт для генерации фото с машиной
/stil/love-is/	Стили	Love Is	Общие	L1	21	1920	промт для фото love is	промт для фото в стиле love is	промт для фото лав ис	промт для фото лов ис	промт для фото лав из
/promty-dlya-sozdaniya-foto/podrobnye/	Сценарии	Создание фото	Подробные промты	L2	8	1674	подробный промт для генерации фото	подробный промт для создания фото	детальный промт для генерации похожего фото	подробный промт для генерации фото в нейросети	подробный промт для генерации изображения по фото
/stil/gta/	Стили	GTA	Общие	L1	17	1658	промт для фото в стиле гта	промт на фото гта	промт для ии фото гта	промт для создания фото в стиле гта	промт для фото в стиле гта 5
/s-cvetami/	Сцены и объекты	С цветами	Общие	L1	13	1655	промт для фото с цветами	промт для фото с букетом	промт для фото с тюльпанами	промт для создания фото с цветами	промт для фото с букетом цветов
/promty-dlya-fotosessii/	Сценарии	Фотосессия	Общие	L1	7	1646	промт для фото фотосессия	промты для генерации фото фотосессии	промт для фото в стиле фотосессии	промты для ии фотосессии с фото	промт фото для пары фотосессия
/stil/studiynoe/	Стили	Студийное	Общие	L1	12	1631	промт для студийного фото	промт для фото в студии	промт для создания студийного фото	промт для фото ии студийное	промт для создания фото в студии
/promty-dlya-foto-s-parnem/	Люди и отношения	С парнем	Общие	L1	7	1570	промт для фото с парнем	промты для ии фото с парнем	промт для генерации фото с парнем	промт для создания фото с парнем	промт на фото в машине с парнем
/promty-dlya-foto-pokoleniy/	Люди и отношения	Поколения	Общие	L1	11	1377	промт для фото поколений	промт для создания фото поколений	фото поколений на черном фоне промт	промт для ии фото поколений	промт для нейросети фото поколений
/stil/delovoe/	Стили	Деловое	Общие	L1	11	1373	промт для делового фото	промт для фото в деловом стиле	промт для офисного фото	промт для создания делового фото	промт для ии деловое фото
/promty-dlya-sozdaniya-foto/primery/	Сценарии	Создание фото	Примеры промтов	L2	8	1347	промт для генерации фото примеры	промт для создания фото примеры	пример промта для создания похожего фото	пример промта для генерации похожего фото	примеры промтов для создания фото в нейросети
/promty-dlya-kollazha/	Сценарии	Коллаж	Общие	L1	10	1267	промт на объединение фото	промт объединить фото	промт для объединения людей на фото	промт для соединения фото	промт для соединения двух фото
/promty-dlya-foto-s-drugom/	Люди и отношения	С другом	Общие	L1	2	1266	промт фото друзья	промты для фото с другом			
/sobytiya/14-fevralya/	События	14 февраля	Общие	L1	11	1238	промт для фото на 14 февраля	промт для фото на день святого валентина	промт для фото валентинки	промт для фото в стиле 14 февраля	промт для фото пары на 14 февраля
/promty-dlya-obrabotki-foto/gotovye/	Сценарии	Обработка фото	Готовые промты	L2	3	1126	готовые промты для обработки фото	промты для нейросети для обработки фото готовые	готовые промты для редактирования фото		
/stil/retro/	Стили	Ретро	Общие	L1	9	1053	ретро фото промт	винтажное фото промт	промт для фото в ретро стиле	промт для создания ретро фото	промт для фото 90х
/promty-dlya-foto-s-papoy/	Люди и отношения	С папой	Общие	L1	12	1029	промт для фото с папой	промт для фото с отцом	промт фото отца и дочери	промт для фото папа и сын	ии промт фото с папой
/promty-dlya-foto-devochki/	Люди и отношения	Девочки	Общие	L1	5	991	промт для фото девочки	промты для ии для фото девочки	промт для фото девочки подростка	промт для фото нейросети для девочки	промт фото девочки 13 лет
/stil/otkrytka/	Стили	Открытка	Общие	L1	9	950	промт фото в стиле открытки	промт для открытки из фото	промт для фото советская открытка	промт для создания открытки по фото	промты для ии фото открытки
/stil/sovetskoe/	Стили	Советское	Общие	L1	8	936	советское фото промт	промт фото ссср	промт для фото в советском стиле	промт для фото в стиле ссср	промт для ии советское фото
/promty-dlya-sozdaniya-foto/gotovye/	Сценарии	Создание фото	Готовые промты	L2	8	928	готовые промты для генерации фото	готовые промты для создания фото	готовые промты для создания фото ии	готовые промты для генерации фото в нейросети	готовые промты для генерации фото ии
/sobytiya/8-marta/	События	8 марта	Общие	L1	4	919	промт для фото на 8 марта	промт для создания фото на 8 марта	промт для генерации фото к 8 марта	промт на фото подруг на 8 марта	
/vesennie/	Сцены и объекты	Весна	Общие	L1	6	866	промт для весеннего фото	промт для фото весна	промт для весеннего фото для ии	промт для создания весеннего фото	промт для нейросети фото весенние
/v-kostyume/	Сцены и объекты	В костюме	Общие	L1	3	862	промт для фото в костюме	промт для создания фото в костюме	промт для фото в пиджаке		
/zimnie/	Сцены и объекты	Зима	Общие	L1	23	861	промт на зимнее фото	промт для фото в зимнем лесу	промт фото в снегу	промт для создания зимних фото	промт для генерации зимнего фото
/sobytiya/maslenica/	События	Масленица	Общие	L1	7	857	промт для фото на масленицу	промт для фото в стиле масленицы	промты для фото ии на масленицу	промт для создания фото на масленицу	промт для фото нейросети масленица
/sobytiya/svadba/	События	Свадьба	Общие	L1	14	827	промт для свадебного фото	промт для фото свадьбы	промт для свадебного фото ии	промт для фото в свадебном платье	промт для создания свадебного фото
/promty-dlya-foto-s-pitomcem/	Люди и отношения	С питомцем	Общие	L1	10	825	промт для фото с питомцем	промт для фото с животными	промт для ии фото с питомцем	промт для создания фото с питомцем	промт для генерации фото с питомцем
/promty-dlya-foto-vlyublennykh/	Люди и отношения	Влюбленные	Общие	L1	8	786	промт для фото влюбленных	промт для фото влюбленной пары	промт для фото влюбленный взгляд	промты для создания фото влюбленных	промт для нейросети фото влюбленных
/s-kotom/	Сцены и объекты	С котом	Общие	L1	10	767	промт для фото с котом	промт для фото с кошкой	промт для фото в кокошнике	промт фото ии с котом	промт для создания фото с котом
/promty-dlya-foto-s-podrugoy/	Люди и отношения	С подругой	Общие	L1	5	725	промт для фото с подругой	промт для ии фото с подругой	промт для фото нейросети с подругой	промт для создания фото с подругой	промт фото с подругой с бутылкой шампанского
/promty-dlya-foto-malchika/	Люди и отношения	Мальчики	Общие	L1	5	701	промты для фото мальчика	промт для фото подростка мальчика	промт для обработки фото мальчика	промт для фото ии мальчика робота	промты для ии фото мальчика 12 лет
/promty-dlya-foto-s-dochkoy/	Люди и отношения	С дочкой	Общие	L1	3	695	промт фото с дочерью	промт для фото с дочкой	промт для ии фото с дочкой		
/promty-dlya-foto-s-muzhem/	Люди и отношения	С мужем	Общие	L1	4	681	промты для фото с мужем	промт для ии фото с мужем	промт для создания фото с мужем	промты для нейросети фото с мужем	
/s-sobakoj/	Сцены и объекты	С собакой	Общие	L1	7	679	промт для фото с собакой	промт для ии фото с собакой	промт для создания фото с собакой	промт для фото с доберманом	промт для нейросети фото с собакой
/promty-dlya-obrabotki-foto/primery/	Сценарии	Обработка фото	Примеры промтов	L2	3	648	промт для обработки фото примеры	промты для нейросети для обработки фото примеры	промт для редактирования фото примеры		
/s-tortom/	Сцены и объекты	С тортом	Общие	L1	3	635	промт на фото с тортом	промт для создания фото с тортом	промт для фото нейросети торта		
/v-profil/	Сцены и объекты	В профиль	Общие	L1	4	631	промт для фото в профиль	промт для ии фото в профиль	промты для фото в профиль лица	промт для фото в профиль 3 человек	
/promty-dlya-foto-s-babushkoy/	Люди и отношения	С бабушкой	Общие	L1	5	621	промт для фото бабушки	промт для фото бабушки с внуками	промт для фото бабушки и дедушки	промт для фото бабушки и внучки	промт для фото дедушки с внуками
/promty-dlya-detskih-foto/den-rozhdeniya/	Люди и отношения	Дети	День рождения	L2	3	589	промт на день рождения с детским фото	промт день рождения на фоне детское фото	промт для фото на день рождения ребенка		
/foto-na-dokumenty/	Задачи	На документы	Общие	L1	8	565	промт для фото на документы	промт для создания фото на документы	промт для фото на удостоверение	фото на документы ии промт	промт чтобы сделать фото на документы
/v-zerkale/	Сцены и объекты	В зеркале	Общие	L1	3	549	промт для фото в зеркале	промт для ии фото в зеркале	промт для фото машины в зеркале		
/stil/anime/	Стили	Аниме	Общие	L1	6	472	промт для аниме фото	промт для фото в стиле аниме	промт для генерации фото в стиле аниме	промты для ии фото аниме	промт для изменения фото в стиле аниме
/stil/polaroid/	Стили	Полароид	Общие	L1	7	471	промт для фото полароид	промт для создания фото полароид	промт для ии фото на полароид	промт для фото в стиле полароид	промт для нейросети фото полароид
/foto-na-avatarku/	Задачи	На аватарку	Общие	L1	6	451	промт для фото на аватарку	промт для создания аватарки по фото	промт для фото на аву	промт для фото на аватар	промт фото ии для аватарки
/stil/multyashnoe/	Стили	Мультяшное	Общие	L1	7	441	промт на мультяшное фото	промт для фото в мультяшном стиле	промт чтобы сделать фото мультяшным	промт для фото в стиле мультика	промт для gpt мультяшные фото
/promty-dlya-foto-malysha/	Люди и отношения	Малыши	Общие	L1	7	413	промты для фото малышей	промт для фото новорожденного	промты на фото младенца	промт для фото по месяцам малышу	промт для создания фото новорожденного
/promty-dlya-sozdaniya-foto/krasivye/	Сценарии	Создание фото	Красивые промты	L2	5	407	промт для создания красивого фото	промт для генерации красивого фото	интересные промты для генерации фото	промт для создания красивых фото в ии	промт на создание фото с красивым телом
/promty-dlya-semejnogo-foto/v-profil/	Люди и отношения	Семья	В профиль	L2	5	385	промт для семейного фото в профиль	промт для фото семьи в профиль	промт для создания семейного фото в профиль	промт на фото семью боком	промт для семейного фото боком
/promty-dlya-foto-s-synom/	Люди и отношения	С сыном	Общие	L1	1	384	промт для фото с сыном				
/na-more/	Сцены и объекты	На море	Общие	L1	4	331	промт фото на море	промт для фото на пляже	промт фото на байкале	промт для фото на мальдивах	
/promty-dlya-sozdaniya-foto/na-russkom/	Сценарии	Создание фото	Промты на русском	L2	1	323	промт для генерации фото на русском				
/promty-dlya-foto-devushki/cherno-beloe/	Люди и отношения	Девушки	Черно-белое	L2	2	312	промт черно белое фото девушки	промт черно белое фото женщины			
/promty-dlya-foto-devushki/den-rozhdeniya/	Люди и отношения	Девушки	День рождения	L2	1	273	промт для фото на день рождения девушке				
/stil/selfi/	Стили	Селфи	Общие	L1	1	263	промты для фото селфи				
/v-lesu/	Сцены и объекты	В лесу	Общие	L1	1	257	промт для фото в лесу				
/promty-dlya-foto-podrostka/	Люди и отношения	Подростки	Общие	L1	3	256	промт для фото подростка	промт для фото ии подростка	промты для генерации фото подростка		
/foto-na-rezume/	Задачи	Для резюме	Общие	L1	5	255	промт для фото на резюме	промт для создания фото для резюме	промт для ии фото для резюме	промт для генерации фото для резюме	промт для фото нейросети для резюме
/sobytiya/novyj-god/	События	Новый год	Общие	L1	8	255	промт фото новогодняя	промт фото новый год	промт для создания новогодних фото	создать новогоднее фото промт	промт на фото в новогоднем стиле
/instrumenty/nano-banana/	Инструменты	Nano Banana	Общие	L1	6	250	промты для генерации фото nano banana	нано банана сделать фото промт	промты для обработки фото в нано банана	промты для обработки фото nano banana	промты для генерации фото nana banana
/stil/disney/	Стили	Disney	Общие	L1	2	245	промт фото дисней	промт на фото в стиле дисней			
/instrumenty/gemini/	Инструменты	Gemini	Общие	L1	7	243	промты для обработки фото gemini	промт для улучшения качества фото gemini	промт для генерации фото gemini	промты для gemini для создания фото	промт для gemini переделка фото
/promty-dlya-zameny-lica/	Сценарии	Замена лица	Общие	L1	4	237	промт заменить лица на фото	промт чтобы добавить человека на фото	промт убрать человека с фото	промт чтобы заменить человека на фото	
/promty-dlya-obrabotki-foto/krasivye/	Сценарии	Обработка фото	Красивые промты	L2	5	229	промт для красивой обработки фото	крутые промты для обработки фото	интересные промты для обработки фото	крутые промты для редактирования фото	классные промты для обработки фото
/promty-dlya-foto-muzhchiny/v-forme/	Люди и отношения	Мужчины	В форме	L2	2	223	промт для фото мужчина в форме	промт для фото мужчины в военной форме			
/promty-dlya-obrabotki-foto/na-russkom/	Сценарии	Обработка фото	Промты на русском	L2	1	213	промты для обработки фото на русском				
/sobytiya/23-fevralya/otkrytka/	События	23 февраля	Открытка	L2	1	209	промт для фото открытки с 23 февраля				
/s-koronoj/	Сцены и объекты	С короной	Общие	L1	4	206	промт для фото с короной	промт для создания фото с короной	промты для ии фото с короной	тренд фото с короной промт	
/promty-dlya-foto-devushki/s-cvetami/	Люди и отношения	Девушки	С цветами	L2	3	192	промты для фото девушки с цветами	промт на фото девушка с тюльпанами	промт фото девушки миллион роз		
/promty-dlya-foto-vlyublennykh/14-fevralya/	Люди и отношения	Влюбленные	14 февраля	L2	4	188	промт для фото на день влюбленных	промты для ии фото день влюбленных	бесплатные промты для фото на день влюбленных	промт для создания фото на день влюбленных	
/promty-dlya-foto-muzhchiny/delovoe/	Люди и отношения	Мужчины	Деловое	L2	4	186	промт для делового фото мужчины	промт для фото мужчины в деловом костюме	промт для мужского делового фото	промт для ии фото делового мужского	
/promty-dlya-foto-s-sestroy/	Люди и отношения	С сестрой	Общие	L1	3	170	промт для фото с сестрой	промт для фото двух сестер	промт для фото 2 сестер		
/promty-dlya-foto-muzhchiny/v-kostyume/	Люди и отношения	Мужчины	В костюме	L2	1	159	промт для фото мужчины в костюме				
/promty-dlya-semejnogo-foto/cherno-beloe/	Люди и отношения	Семья	Черно-белое	L2	4	153	промт для черно белого семейного фото	семейная фото промт чб	промт на черно белое фото семьи	семейная фотосессия нейросеть черно белое фото промт	
/stil/kollazh/	Стили	kollazh	Общие	L1	4	153	промт на коллаж из фото	промт для коллажа из 3 фото	промт на коллаж из трех фото	промт для ии коллаж из трех фото	
/promty-dlya-foto-s-muzhem/v-forme/	Люди и отношения	С мужем	В форме	L2	1	146	промт для фото с мужем военным				
/promty-dlya-detskih-foto/maslenica/	Люди и отношения	Дети	Масленица	L2	3	144	промт для фото ребенка на масленицу	промты для ии для фото ребенка масленица	промт для детского фото на масленицу		
/promty-dlya-foto-devushki/portret/	Люди и отношения	Девушки	Портрет	L2	4	141	промты для фото девушки портрет	промт для портретного фото женщины	промт для портретного фото девушки	промты для фото девушки студийный портрет	
/promty-dlya-foto-devushki/studiynoe/	Люди и отношения	Девушки	Студийное	L2	4	134	промт для студийного фото девушки	промты для фото девушки в студии	промт на фото женщины в студийном стиле	промты на студийные фото девушек обычные	
/promty-dlya-foto-devushki/delovoe/	Люди и отношения	Девушки	Деловое	L2	2	119	промт для делового фото женщины	промт для делового фото девушки			
/promty-dlya-foto-devushki/v-kostyume/	Люди и отношения	Девушки	В костюме	L2	1	113	промт для фото девушки в костюме				
/stil/delovoe/v-kostyume/	Стили	Деловое	В костюме	L2	1	111	промт для фото в деловом костюме				
/stil/polaroid/so-znamenitostyu/	Стили	Полароид	Со знаменитостью	L2	4	111	промт для фото со знаменитостью полароид	промт на фото с знаменитостью полароида	промт для создания фото со знаменитостью полароид	фото с кумиром на полароид промт	
/promty-dlya-foto-pokoleniy/portret/	Люди и отношения	Поколения	Портрет	L2	2	109	промт для фото портрет поколений	промт на объединение фото в портрет поколений			
/promty-dlya-foto-muzhchiny/cherno-beloe/	Люди и отношения	Мужчины	Черно-белое	L2	1	95	промт мужчина черно белое фото				
/sobytiya/23-fevralya/v-forme/	События	23 февраля	В форме	L2	2	93	промт для фото 23 февраля военный	промт с 23 февраля по фото сво			
/promty-dlya-detskih-foto/cherno-beloe/	Люди и отношения	Дети	Черно-белое	L2	1	92	промт черно белое фото с ребенком				
/promty-dlya-foto-muzhchiny/studiynoe/	Люди и отношения	Мужчины	Студийное	L2	1	90	промт студийное фото мужчина				
/promty-dlya-uluchsheniya-foto/gotovye/	Сценарии	Улучшение фото	Готовые промты	L2	2	87	готовый промт для улучшения фото	готовый промт для улучшения качества фото			
/promty-dlya-detskih-foto/23-fevralya/	Люди и отношения	Дети	23 февраля	L2	2	77	промт для фото ребенка к 23 февраля	промт для детского фото на 23 февраля			
/promty-dlya-foto-devushki/zimnie/	Люди и отношения	Девушки	Зима	L2	1	75	промты для фото девушки зимние				
/promty-dlya-obrabotki-foto/luchshie/	Сценарии	Обработка фото	Лучшие промты	L2	3	73	лучшие промты для обработки фото	лучшие промты для редактирования фото	топ промтов для обработки фото		
/promty-dlya-foto-muzhchiny/den-rozhdeniya/	Люди и отношения	Мужчины	День рождения	L2	2	69	промт для фото на день рождения мужчине	промт для фото 70 лет мужчине			
/promty-dlya-obrabotki-foto/podrobnye/	Сценарии	Обработка фото	Подробные промты	L2	1	67	подробный промт для обработки фото				
/promty-dlya-foto-muzhchiny/realistichnoe/	Люди и отношения	Мужчины	Реалистичное	L2	1	66	промты для реалистичных фото мужчин				
/promty-dlya-foto-s-parnem/v-zerkale/	Люди и отношения	С парнем	В зеркале	L2	1	61	промт для фото в зеркале с парнем				
/promty-dlya-foto-par/cherno-beloe/	Люди и отношения	Пары	Черно-белое	L2	2	60	чб промт фото пар	промты для парных чб фото			
/sobytiya/novyj-god/otkrytka/	События	Новый год	Открытка	L2	2	57	промт фото новогодняя открытка	фото в стиле новогодней открытки промт			
/promty-dlya-foto-muzhchiny/s-mashinoy/	Люди и отношения	Мужчины	С машиной	L2	1	56	промты для фото мужчины с машиной				
/promty-dlya-foto-devushki/v-forme/	Люди и отношения	Девушки	В форме	L2	2	51	промт на фото военный с девушкой	промт на генерацию фото военные с девушкой			
/promty-dlya-foto-devushki/23-fevralya/	Люди и отношения	Девушки	23 февраля	L2	1	50	промт фото девушки к 23 февраля				
/promty-dlya-foto-muzhchiny/zimnie/	Люди и отношения	Мужчины	Зима	L2	3	50	зимний промт фото для мужчин	промт на мужское фото на горнолыжном курорте	промт ии мужское фото на горнолыжном курорте		
/promty-dlya-semejnogo-foto/studiynoe/	Люди и отношения	Семья	Студийное	L2	2	50	промт для студийного семейного фото	промт для семейного фото в студии			
/sobytiya/novyj-god/sovetskoe/	События	Новый год	Советское	L2	4	50	промты новогодние советские фото	промт новогоднее фото ссср	новогоднее фото в советском стиле промт	промт новогоднее фото в стиле ссср	
/sobytiya/23-fevralya/sovetskoe/	События	23 февраля	Советское	L2	1	49	промт на фото советское 23 февраля				
/sobytiya/8-marta/otkrytka/	События	8 марта	Открытка	L2	1	48	промт открытка на 8 марта по фото				
/promty-dlya-foto-devochki/maslenica/	Люди и отношения	Девочки	Масленица	L2	1	44	промт фото девочка масленица				
/promty-dlya-detskih-foto/14-fevralya/	Люди и отношения	Дети	14 февраля	L2	1	42	промт для фото ребенка на 14 февраля				
/promty-dlya-foto-malchika/den-rozhdeniya/	Люди и отношения	Мальчики	День рождения	L2	1	40	промт для фото на день рождения мальчику				
/promty-dlya-foto-devushki/v-polnyj-rost/	Люди и отношения	Девушки	В полный рост	L2	1	38	промт для фото девушки в полный рост				
/promty-dlya-foto-devushki/vesennie/	Люди и отношения	Девушки	Весна	L2	1	35	промт для весеннего фото для девушки				
/promty-dlya-sozdaniya-foto/luchshie/	Сценарии	Создание фото	Лучшие промты	L2	2	34	топ промтов для генерации фото	популярные промты для создания фото			
/promty-dlya-foto-s-parnem/cherno-beloe/	Люди и отношения	С парнем	Черно-белое	L2	2	33	промт фото черно белое с парнем	промт для чб фото с парнем			
/promty-dlya-semejnogo-foto/portret/	Люди и отношения	Семья	Портрет	L2	1	33	промт на фото семейный портрет				
/promty-dlya-foto-muzhchiny/so-znamenitostyu/	Люди и отношения	Мужчины	Со знаменитостью	L2	1	30	промт фото мужчины с путиным				
/promty-dlya-foto-muzhchiny/portret/	Люди и отношения	Мужчины	Портрет	L2	2	29	промт для портретного фото мужчины	мужские портретные фото ии промты			
/promty-dlya-foto-pokoleniy/v-profil/	Люди и отношения	Поколения	В профиль	L2	1	29	промт фото поколений в профиль				
/promty-dlya-foto-devushki/foto-na-avatarku/	Люди и отношения	Девушки	На аватарку	L2	1	24	промт для фото девушки на аватарку				
/promty-dlya-foto-devushki/retro/	Люди и отношения	Девушки	Ретро	L2	1	22	промты для ретро фото девушки				
/promty-dlya-foto-devushki/s-kotom/	Люди и отношения	Девушки	С котом	L2	1	21	промт фото девушки с кошкой				
/promty-dlya-detskih-foto/8-marta/	Люди и отношения	Дети	8 марта	L2	1	20	промт на фото ребенка к 8 марта				
/promty-dlya-foto-devushki/s-koronoj/	Люди и отношения	Девушки	С короной	L2	1	20	промт для фото девушка с короной				
/promty-dlya-foto-par/realistichnoe/	Люди и отношения	Пары	Реалистичное	L2	1	18	промт для пар реалистичные фото				
/promty-dlya-uluchsheniya-foto/primery/	Сценарии	Улучшение фото	Примеры промтов	L2	1	18	промт для улучшения фото примеры				
/stil/realistichnoe/s-kotom/	Стили	Реалистичное	С котом	L2	1	18	фотореалистичное фото кошки и человека промт				
/promty-dlya-semejnogo-foto/23-fevralya/	Люди и отношения	Семья	23 февраля	L2	1	17	промты для 23 февраля семейная фото				
/promty-dlya-obrabotki-foto/shablony/	Сценарии	Обработка фото	Шаблоны промтов	L2	1	16	шаблоны промтов для обработки фото				
/promty-dlya-foto-muzhchiny/foto-na-pasport/	Люди и отношения	Мужчины	На паспорт	L2	1	14	промт для фото на паспорт мужчине				
/promty-dlya-foto-s-pitomcem/studiynoe/	Люди и отношения	С питомцем	Студийное	L2	1	13	промт студийное фото питомца				
/stil/cherno-beloe/s-kotom/	Стили	Черно-белое	С котом	L2	1	12	промт черно белое фото с котом				
/promty-dlya-detskih-foto/novyj-god/	Люди и отношения	Дети	Новый год	L2	1	11	промты новогодние детские фото				
/promty-dlya-detskih-foto/so-znamenitostyu/	Люди и отношения	Дети	Со знаменитостью	L2	1	11	промт для фото ребенка с чебурашкой				
/promty-dlya-foto-pokoleniy/cherno-beloe/	Люди и отношения	Поколения	Черно-белое	L2	1	11	промт портрет поколений черно белое фото				
/stil/studiynoe/v-forme/	Стили	Студийное	В форме	L2	1	11	промты для фото с военным в студии				
/promty-dlya-semejnogo-foto/novyj-god/	Люди и отношения	Семья	Новый год	L2	1	10	новогодний промт семейное фото				
/promty-dlya-foto-devushki/s-sobakoj/	Люди и отношения	Девушки	С собакой	L2	1	9	фото девушки с доберманом промт				
/promty-dlya-foto-s-synom/cherno-beloe/	Люди и отношения	С сыном	Черно-белое	L2	1	9	промт на фото с сыном чб				
/stil/selfi/na-more/	Стили	Селфи	На море	L2	1	9	промты для ии фото селфи на пляже				
/sobytiya/8-marta/retro/	События	8 марта	Ретро	L2	1	8	винтажное фото на 8 марта промт				
/promty-dlya-foto-par/14-fevralya/	Люди и отношения	Пары	14 февраля	L2	1	7	промт на совместное фото на день влюбленных				
/promty-dlya-foto-par/v-forme/	Люди и отношения	Пары	В форме	L2	1	7	промт для совместного фото с сво				
/sobytiya/svadba/zimnie/	События	Свадьба	Зима	L2	1	7	промты для свадебных зимних фото				
/promty-dlya-foto-devushki/s-mashinoy/	Люди и отношения	Девушки	С машиной	L2	1	6	промт для фото женский с машиной текст				
/sobytiya/den-rozhdeniya/v-forme/	События	День рождения	В форме	L2	1	6	промт на фото военного в день рождение				
/stil/cherno-beloe/s-sobakoj/	Стили	Черно-белое	С собакой	L2	1	6	промт для фото с собакой в чб				
/promty-dlya-foto-s-babushkoy/portret/	Люди и отношения	С бабушкой	Портрет	L2	1	5	промт фото поколения портрет бабушка мать дочт				
